Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911590117037,"[Syscore App] processSpawn(pid, 0x6000130b, 0x1130b170, appParam, processParam, 0, 0, 1, param, debug, 0)
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911590172176,"[Syscore App] appParam: appType = 0x6, rootPath = /mnt/sandbox/NPXS22010_000, titleId = NPXS22010
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911590216704,"[Syscore App] processParam: elfPath = /app0/eboot.bin, fullPath = /system/vsh/app/NPXS22010/eboot.bin
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911592888960,"[Syscore App] new pid=0x48[Syscore App] attributeExe= 0
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911594061030,"[Syscore App] Ready to exec
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911594540150,"[Syscore App] wait for NOTE_EXIT|NOTE_EXEC
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911618610551,"[Syscore App] Add event : pid=0x48
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911620822033,"[AppMgr Trace]: New Process, pid=0x48, created.
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911621755639,"[AppMgr Trace]: New App, appId=0x6000130b, created
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911622337798,"[Syscore App]  ExpandCpuSetMode : disable
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911794341188,"[SceShellUI] I/PSM.UI : OnFocusActiveSceneChanged [ContentAreaScene : ContentAreaScene] -> [SplashScreen : SplashScreenScene]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911794519905,"[SceShellUI] I/PSM.UI :      Scene [SplashScreen : SplashScreenScene] : Alive
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911794844615,"SetDeviceIndexBehavior: mode=MergeAllConnectedDevice, param=null
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2911795013130,"[Theme/I] : ActiveUserChanged : From : [BLUE(userId = 107182a4)]
"
